Date,site_no,Mean Flow,Peak Flow,Median,Coeff Var,Skew,TQmean,R-B Index,7Q,3xMedian,Station
1969-10-01,3335000,883.9972602739726,6980.0,510.0,126.75067482210676,3.007030856049723,0.2684931506849315,0.26152067662764716,155.0,49.0,Wildcat
1970-10-01,3335000,602.2630136986302,6120.0,378.0,128.74199169232506,3.776019776579336,0.2273972602739726,0.2841793054506746,135.57142857142858,36.0,Wildcat
1971-10-01,3335000,717.9071038251366,10500.0,338.5,162.12643897001996,4.592099388253689,0.2540983606557377,0.23881272977766277,115.57142857142857,56.0,Wildcat
1972-10-01,3335000,1204.8849315068494,6020.0,776.0,96.85316496110866,1.7503763421692422,0.3287671232876712,0.23629608238608588,145.71428571428572,50.0,Wildcat
1973-10-01,3335000,1359.386301369863,11800.0,672.0,138.3104490160792,2.651093344707616,0.2602739726027397,0.2390563026023024,145.57142857142858,69.0,Wildcat
1974-10-01,3335000,780.9890410958905,6840.0,508.0,122.79487591008098,3.381166835168597,0.2876712328767123,0.2882330448570657,130.42857142857142,40.0,Wildcat
1975-10-01,3335000,732.7677595628415,9340.0,306.5,175.88210223114925,3.9690087210308143,0.20218579234972678,0.27247914747961355,110.28571428571429,59.0,Wildcat
1976-10-01,3335000,320.4986301369863,2510.0,134.0,127.64193300907355,2.607683510668991,0.29863013698630136,0.23900258159374946,57.714285714285715,85.0,Wildcat
1977-10-01,3335000,1096.1205479452055,10800.0,400.0,154.28620972689933,2.957403712108986,0.2465753424657534,0.2501774627328261,94.0,85.0,Wildcat
1978-10-01,3335000,681.7095890410959,8200.0,306.0,150.10366320771502,3.977345751536447,0.26301369863013696,0.3234334308587596,100.0,79.0,Wildcat
1979-10-01,3335000,877.7267759562842,11900.0,415.0,151.422073761112,4.638350088167529,0.23770491803278687,0.2591704851080785,142.5,70.0,Wildcat
1980-10-01,3335000,598.254794520548,8890.0,235.0,155.9111958359996,4.516255941351599,0.2876712328767123,0.2644633019330198,115.85714285714286,91.0,Wildcat
1981-10-01,3335000,1140.0657534246575,8660.0,533.0,127.70296293678389,2.5737674419964947,0.27123287671232876,0.2733632282684969,142.0,76.0,Wildcat
1982-10-01,3335000,838.813698630137,17800.0,430.0,180.65444740674343,6.829242533426164,0.2684931506849315,0.26938566207331294,104.85714285714286,58.0,Wildcat
